year,region,post_rural_vitalization,agri_loan_balance,agri_loan_growth_rate,grain_yield_per_ha,per_capita_agri_output,agri_machinery_power_per_1000ha,forest_cover_rate,fertilizer_use_intensity,sanitary_toilet_rate,cultural_spending_share,township_culture_stations_per_10k,avg_education_years_rural,urban_rural_governance_index,village_governance_participation_rate,rural_disposable_income_per_capita,rural_engel_coefficient,cars_per_100_households,industry_score,ecology_score,culture_score,governance_score,affluence_score,rural_vitalization_index
2021,山东,1,1196.31,0.021143110777267493,5.288,2.829,382.39,29.21,0.332,80.57,7.174,2.206,8.389,86.98,81.74,14107.33,32.38,31.27,52.56088866417087,47.71719781670802,47.87509249280604,89.99301057386502,62.10883186528522,60.65294864991162
2022,山东,1,1261.29,0.054317024851418205,5.523,2.968,388.76,27.29,0.363,81.54,7.594,2.264,8.275,88.44,82.15,14388.86,32.67,29.82,57.92875006217745,44.38861118711011,49.912174264265374,92.15150292210011,60.57154204851567,62.403607888638035
2023,山东,1,1308.38,0.03733479215723601,5.531,3.055,410.45,25.31,0.345,84.16,7.547,2.293,8.474,90.69,86.76,14819.68,32.01,33.8,61.65446513376467,45.92363222118629,54.03161437400591,100.0,68.91669723047062,70.46810902612366
2013,山西,0,764.75,0.0,5.801,1.989,201.5,51.84,0.66,72.66,7.114,1.799,8.308,52.64,54.94,9995.06,33.83,28.32,26.01996177140324,40.76491476832943,35.333284212040354,19.721822599157537,39.37180369484138,15.52947956437087
2014,山西,0,803.34,0.05046093494606074,6.305,2.019,203.91,57.67,0.628,75.07,7.22,1.958,8.351,53.39,55.78,10048.65,32.99,28.69,32.20933238702045,51.14327144883006,40.95332163577506,21.54607161703614,42.18754178930885,24.067139659268932
2015,山西,0,839.13,0.04455149749794596,6.351,2.28,233.01,59.96,0.641,77.21,7.947,1.689,8.422,54.16,57.49,10579.97,32.72,31.76,39.81357066398411,54.447211553602784,39.70373492282642,24.382453266093055,48.753287570064806,30.801700452364233
2016,山西,0,905.59,0.0792010773062577,6.456,2.177,218.02,55.65,0.62,79.02,7.574,1.862,8.389,57.76,59.05,10916.86,32.04,30.09,37.77816306007079,53.090334519356034,41.32610271810498,30.328870532780762,49.620755664957265,32.10894430444729
2017,山西,0,965.94,0.06664163694387093,6.232,2.26,225.68,60.8,0.623,81.59,7.647,1.992,8.549,54.27,59.41,11140.3,31.05,34.96,37.43672830517662,60.42246374679298,48.12597755794354,26.69247277608258,59.169371993990474,37.78090220354936
2018,山西,1,993.21,0.028231567178085504,6.575,2.398,261.43,62.01,0.606,82.14,8.282,1.829,8.44,57.09,58.62,11535.82,30.79,34.02,47.075119108826314,63.35605061515075,45.787026735188164,29.063413965696398,60.109183296643295,43.01621390717925
2019,山西,1,1020.0,0.02697314767269754,6.664,2.494,251.68,58.32,0.594,85.8,8.475,1.981,8.597,59.63,61.35,11890.88,29.7,35.17,48.48717796750167,63.616043447448554,53.853777527272705,35.11104156328569,65.67532253839131,49.2489381931843
2020,山西,1,1072.66,0.05162745098039223,6.851,2.437,263.63,61.37,0.591,91.97,8.007,1.922,8.8,60.6,62.7,12570.04,29.84,34.48,50.905561746382055,72.36461133156567,53.12497852420483,37.77004367731587,66.96487421642465,54.05226762871058
2021,山西,1,1128.44,0.05200156619991425,6.85,2.686,268.76,62.89,0.556,92.54,8.161,2.055,8.685,60.35,66.52,12711.4,28.97,37.27,55.27454620348773,76.91348179510616,55.46248307251961,41.82252291991267,73.25866577968321,61.05125918208188
2022,山西,1,1165.45,0.03279749034064716,6.87,2.668,282.04,63.13,0.587,93.88,8.521,2.108,8.694,62.14,62.98,12921.69,28.45,36.31,56.62165075998845,76.13012559629269,59.251976383458945,39.87349832653532,74.14901573807445,61.90089766602556
2023,山西,1,1198.04,0.02796344759534941,7.217,2.782,295.64,63.91,0.583,98.12,8.194,2.061,8.889,63.42,64.83,13532.45,26.85,39.36,63.58646890451257,80.92642757777486,59.56611096350284,43.460214565901516,84.38304535000854,70.62488086290533
2013,广东,0,796.59,0.0,5.976,1.986,179.94,34.41,0.892,71.78,9.593,1.593,8.254,58.0,54.33,11647.72,35.47,16.75,25.588947060683964,5.584382355870115,44.31291165623265,25.24174901225852,26.62082760147803,4.065046408181867
2014,广东,0,855.22,0.07360122522251089,5.946,2.151,187.45,36.46,0.867,70.82,9.286,1.506,8.322,59.69,54.71,12211.31,35.03,18.66,28.601151938263765,8.6290998295846,41.371863066749384,27.63275633507765,32.26683191963103,8.066748952521417
2015,广东,0,863.97,0.010231285517176891,6.051,2.183,180.44,35.17,0.878,76.13,9.452,1.436,8.361,63.03,57.56,12401.45,32.99,19.46,29.491262589869844,11.166894806964503,41.27930803462993,34.744152892010696,39.202757384328024,13.647182459863236
2016,广东,0,913.96,0.05786080535203775,6.256,2.387,188.69,35.03,0.855,76.81,9.671,1.73,8.293,64.47,57.72,12721.25,32.81,15.52,35.73406775897133,13.252116219026075,49.10838270660391,36.59528055884915,35.844506119522315,18.15924727433276
2017,广东,0,968.83,0.06003545012910849,6.427,2.416,170.5,37.0,0.862,79.67,9.539,1.583,8.434,65.88,58.38,13377.11,32.51,17.11,36.10975367088678,17.283246602628168,47.01668489935821,38.97999339078457,41.069061217752974,21.496183673908437
2018,广东,1,989.63,0.02146919480197762,6.295,2.476,213.28,36.95,0.823,83.12,9.897,1.676,8.425,66.41,60.19,13649.37,31.38,14.45,40.13446827509334,23.02155682818034,51.513676634564455,41.65183861199047,41.58815078411106,26.983087213978887
2019,广东,1,1036.94,0.047805745581682046,6.867,2.404,194.34,40.78,0.838,84.98,10.07,1.663,8.358,68.6,56.97,14319.53,31.35,21.92,43.228167410059356,27.52223852291443,51.016765915703466,40.53024634819344,53.6479109038692,32.976616614844595
2020,广东,1,1098.42,0.059289833548710646,7.095,2.525,209.84,39.05,0.807,87.18,10.084,1.672,8.611,68.11,58.23,14576.91,30.22,16.41,49.21022477919138,29.870580707858117,55.97995995645876,41.39450731387587,50.49007987258209,36.53942105761359
2021,广东,1,1154.28,0.05085486425957275,6.709,2.827,223.48,40.19,0.796,89.65,10.384,1.828,8.552,68.83,65.38,14849.29,29.22,19.91,51.11772280024096,33.985802559947984,60.8539506205338,50.35669921980567,58.50521533369657,45.1284682747727
2022,广东,1,1168.26,0.012111446096267908,7.161,2.726,233.1,39.0,0.829,92.02,9.913,1.842,8.699,71.58,65.29,15405.34,28.78,20.94,55.48834173008398,32.4908525669246,60.995790628874545,53.442201961476755,63.00494293355078,48.81954128719162
2023,广东,1,1214.04,0.039186482461095906,7.322,2.843,218.77,39.95,0.813,92.61,10.036,1.745,8.642,73.81,65.39,15582.38,28.42,21.03,57.520276209489815,35.120983414879696,58.16706141713542,56.14089650948001,64.69716272713045,51.17456567996709
2013,广西,0,622.12,0.0,6.909,1.173,241.06,39.19,0.698,63.85,6.65,0.906,8.011,55.76,70.47,12609.23,32.67,29.01,29.66971140382077,17.346262847043487,3.5660292633421915,40.99183583029466,52.928246935797944,13.042755535651
2014,广西,0,637.34,0.02446473349193079,7.423,1.166,240.45,41.78,0.703,65.44,7.082,0.729,8.104,56.62,70.06,12967.12,32.49,28.0,35.077578969686385,21.04593463522834,3.3050627702987154,41.522694034278985,53.43483569024661,16.62027654480865
2015,广西,0,713.99,0.12026547839457735,7.181,1.146,271.19,40.81,0.679,67.89,6.829,1.011,8.24,59.82,69.83,13080.28,31.29,27.64,35.39965248954683,23.89728255674911,11.632651242814273,44.970696896903966,56.464206754230275,21.6779631720436
2016,广西,0,731.77,0.024902309556156244,7.705,1.287,263.74,38.84,0.689,70.52,6.987,0.968,8.139,59.45,74.22,13696.24,30.65,33.48,42.471408612335615,23.461846048847804,9.631600716477632,49.53200362539217,67.80991285880357,28.898858267465016
2017,广西,0,749.78,0.024611558276507628,7.421,1.255,276.01,41.3,0.671,73.3,6.984,1.064,8.329,58.92,76.69,14524.87,29.78,30.66,40.195349046852144,29.703259965365252,15.617717860623173,51.72533070267924,69.52907131405436,32.63376819040574
2018,广西,1,811.66,0.08253087572354567,7.66,1.382,269.63,41.48,0.685,74.63,7.437,0.917,8.332,62.28,74.84,14782.72,28.96,35.11,44.07063716051536,30.057351794001985,14.623914448775125,53.51731556775186,78.23747045241659,37.36736927483063
2019,广西,1,862.7,0.06288347337555145,7.902,1.322,269.64,41.08,0.664,76.1,7.606,0.993,8.288,61.54,75.04,15088.24,28.4,36.63,45.774634769314254,32.42429336913054,16.860334324589036,52.88684997774937,82.73539590460165,40.54617775775006
2020,广西,1,889.81,0.03142459719485324,8.118,1.476,287.59,42.37,0.669,80.36,7.523,1.022,8.448,63.14,74.4,15838.38,28.02,32.16,52.394452711597935,37.123133853273856,20.041189089396788,54.01407209674672,80.81405529806906,45.156922422383694
2021,广西,1,907.13,0.019464829570357667,8.209,1.529,306.53,42.57,0.64,81.62,7.479,1.109,8.372,63.36,81.25,15928.08,26.67,39.82,56.206036842058396,40.491838159240295,20.658202868209326,62.05564584066592,94.33088547240122,54.70259417402291
2022,广西,1,954.92,0.05268263644681581,8.117,1.273,316.11,44.8,0.637,82.73,7.504,0.928,8.569,65.73,82.74,16655.16,25.75,38.1,52.27835632645086,43.96970093214884,19.67493336009776,66.49667305857228,97.19821302134132,56.32945006699932
2023,广西,1,993.91,0.04083064549909943,8.402,1.573,335.07,45.4,0.63,86.58,7.754,1.057,8.57,66.91,84.11,17075.64,25.32,35.03,62.00366397328361,48.452799228724906,24.63041262542153,69.42184221568425,95.95849401904422,63.30700801642081
2013,新疆,0,525.73,0.0,6.092,1.527,279.71,54.89,0.661,66.14,7.898,1.221,8.271,75.74,70.26,10774.66,37.42,29.48,30.349418702705222,38.12586693079876,24.345045652489492,63.91399653353395,34.56996184740047,26.267817125078267
2014,新疆,0,565.51,0.07566621649896321,6.368,1.494,272.87,60.77,0.64,74.34,8.302,1.141,8.284,75.52,71.02,11077.53,36.43,33.72,32.11262260719178,52.84015236938152,24.98948998567883,64.52288101193518,43.61321124839554,34.83196455991744
2015,新疆,0,577.56,0.02130819967816655,6.005,1.411,295.84,58.26,0.651,77.33,8.64,1.22,8.372,74.99,72.11,11515.64,35.23,30.47,29.327034788538093,52.09328008189882,30.773915807750306,65.14753103970816,44.17780977634009,35.24308494916645
2016,新疆,0,607.83,0.05241013920631632,6.371,1.633,302.77,60.77,0.62,81.07,7.947,1.048,8.391,78.61,73.61,12031.4,35.74,31.89,37.45520781753541,60.14978379868715,22.30845600791777,71.04892901290165,46.59591816646652,41.633530746681544
2017,新疆,0,633.58,0.04236381883092322,6.217,1.742,341.01,60.65,0.621,80.83,8.198,1.201,8.384,77.84,73.64,12060.39,34.59,36.71,41.51488642932999,59.74532094310882,27.753434107875492,70.19044451323207,55.76716141480874,47.036148715649844
2018,新疆,1,652.34,0.029609520502541065,6.62,1.712,320.5,62.67,0.612,81.02,8.278,1.41,8.459,80.54,72.71,12708.04,34.77,30.2,43.25449821227386,62.628550356775,35.11161578783912,72.26314021398727,49.44166947520641,49.037944850464726
2019,新疆,1,682.74,0.04660146549345434,6.797,1.841,346.08,64.29,0.591,86.53,9.337,1.348,8.587,82.58,73.36,13195.21,32.47,33.1,49.874296109616004,70.60788638997558,42.4007827899748,75.3667836001927,60.814428638866325,60.49659486289376
2020,新疆,1,728.42,0.06690687523801153,6.844,1.835,359.81,62.65,0.613,87.93,9.43,1.243,8.594,83.96,79.33,13472.76,32.64,36.45,51.74709656008593,68.58298854114302,40.349730950224895,83.75271682053145,65.66854413140288,64.30097386284841
2021,新疆,1,767.19,0.053224787897092396,6.833,1.936,377.1,62.92,0.612,92.09,9.503,1.43,8.69,85.23,80.25,13550.32,31.65,37.84,55.01595491768227,72.57161425684116,47.47212002327332,86.2706891069828,70.25281008230955,70.79639018859712
2022,新疆,1,803.22,0.04696359441598563,6.742,1.907,361.67,66.28,0.575,94.97,9.316,1.318,8.686,86.89,80.24,14194.75,30.73,38.38,51.94608232365508,81.17615889485975,43.2986823030623,88.18359857021225,75.68484940651483,73.63975897080016
2023,新疆,1,855.1,0.0645900251487761,7.009,1.884,363.67,68.78,0.597,95.41,8.918,1.259,8.662,88.34,83.22,14765.3,29.23,38.25,54.702418736291,82.56914423507006,38.840859733436595,93.2518757143001,81.4729508253337,77.54972824695531
2013,江苏,0,589.13,0.0,6.653,1.355,138.32,50.75,0.712,73.19,11.686,1.614,7.788,45.77,71.01,10716.56,36.79,12.64,18.806972216688266,36.412849541683904,49.30083687874379,30.025229766021866,14.564508874532878,10.022429092445986
2014,江苏,0,596.8,0.013019197800145932,6.934,1.405,132.84,52.09,0.713,77.49,11.475,1.538,7.862,45.6,72.56,11023.28,36.38,13.34,22.04731715284158,41.482325458594275,47.35409253032608,31.590085160356562,17.64159945467279,13.916689791102288
2015,江苏,0,626.87,0.05038538873994636,6.918,1.519,144.34,49.03,0.715,80.55,11.983,1.695,7.878,46.7,73.21,11242.9,36.31,18.53,24.848607581565556,40.87052349044536,54.92011482423249,33.604077891783426,25.23184223223669,19.66813688870221
2016,江苏,0,698.83,0.11479254071817135,7.047,1.517,149.66,51.33,0.716,81.82,11.785,1.587,7.994,51.47,74.27,11564.04,34.94,14.77,26.782074155598295,44.27616149743182,52.984279824831624,40.338401212999216,25.148032311925206,23.156983020561487
2017,江苏,0,707.39,0.01224904483207645,6.881,1.507,152.68,52.52,0.692,86.5,12.677,1.641,7.993,48.94,76.39,12260.12,33.87,16.32,25.145824171993013,51.30018892859489,59.91670719140274,39.81546976694452,32.43876474524339,28.521363260882897
2018,江苏,1,737.99,0.0432576089568697,7.369,1.658,155.17,51.49,0.704,85.4,12.76,1.533,8.104,51.55,78.19,12565.12,33.46,15.53,33.03414874789852,48.42575774997754,59.632261388352546,44.88708963755755,33.61605506973522,32.64347005258591
2019,江苏,1,768.74,0.04166723126329619,7.438,1.699,149.15,54.93,0.722,91.44,12.564,1.638,8.06,50.71,79.7,13068.95,31.86,14.96,33.77698641307879,55.96956269532244,60.36579610124113,45.62981023967056,38.85258783776141,37.392431600964585
2020,江苏,1,789.74,0.027317428519395337,7.313,1.593,163.29,52.62,0.71,89.68,13.079,1.662,8.075,52.91,81.48,13186.27,32.0,17.81,32.28523079532115,52.906489546454495,64.4655507035602,50.20342250235531,42.55249394221242,39.424928546787065
2021,江苏,1,832.06,0.053587256565451824,7.914,1.767,165.36,53.51,0.685,95.71,13.067,1.565,8.128,53.41,87.02,13833.85,31.9,16.96,41.71020633875111,60.87424294694419,62.81682531332292,57.08046656252086,44.13461556583216,47.963066439138565
2022,江苏,1,868.41,0.043686753359132746,7.815,1.688,164.76,58.28,0.66,95.45,13.724,1.684,8.163,55.6,84.4,14053.95,30.56,19.98,39.35469689338469,67.32887381415114,70.65805688955791,56.64090779851257,52.21427482373845,53.354490992939496
2023,江苏,1,889.98,0.02483849794451931,8.124,1.733,188.23,57.62,0.681,98.58,13.28,1.7,8.295,53.67,87.5,14298.61,28.99,17.47,45.88984033590344,67.896630381925,70.74477964896843,57.9274860966523,53.945703120717866,57.09615051643845
2013,江西,0,516.84,0.0,6.369,1.636,360.59,41.43,0.64,77.6,7.08,2.378,9.504,73.76,59.07,17027.53,38.54,17.82,43.606921570255395,35.80199486336428,72.25654475304776,48.89885017049373,40.13001521385977,39.16022496478651
2014,江西,0,489.87,-0.052182493615045344,6.605,1.778,375.84,45.79,0.619,83.37,7.651,2.232,9.504,74.21,62.9,17604.08,37.44,21.95,49.9728761588147,46.82682569295831,71.96594522964538,53.77413861504976,50.33168987164341,49.87303542379611
2015,江西,0,566.23,0.15587809010553833,6.896,1.853,377.63,41.59,0.64,87.87,7.416,2.407,9.594,77.98,64.84,18229.4,37.49,21.71,54.477354978782074,44.9525185583195,76.75270737270566,60.3495749117232,52.22295082536832,54.87882360748512
2016,江西,0,574.62,0.014817300390300714,6.782,1.806,408.59,43.59,0.588,87.14,7.071,2.461,9.651,78.53,65.76,18713.1,36.44,22.72,55.79642742154872,50.06549500565096,77.0755507507482,62.03292116472714,57.98706705863342,59.45356792614916
2017,江西,0,609.77,0.06117086074275169,6.863,1.953,409.92,44.66,0.654,90.77,7.877,2.699,9.685,82.73,66.17,19195.16,35.56,23.31,59.08151478611619,49.65258949733028,88.94655340540888,67.36762925135926,62.77698631778138,66.64624149067106
2018,江西,1,625.05,0.025058628663266358,7.147,2.086,412.93,46.83,0.62,97.28,8.303,2.506,9.776,80.46,69.54,19767.13,34.93,27.35,64.53285616833946,59.996248161709254,88.19167533792853,68.56699366416487,71.64631293131988,75.08585737480436
2019,江西,1,656.22,0.04986801055915535,7.29,2.032,417.44,45.37,0.607,98.04,8.055,2.723,9.821,82.41,69.84,20577.43,33.48,25.21,65.73134395891131,60.08335698089443,93.17501475518361,71.16845592131261,75.64348877389926,78.85968787901696
2020,江西,1,688.18,0.048703178811983605,7.4,1.956,448.35,45.86,0.573,98.31,8.054,2.726,9.72,83.02,70.2,20873.4,33.49,25.54,69.03023562736152,63.23936048617975,91.39519471842706,72.28478974396766,77.1372539755345,81.56781501073698
2021,江西,1,733.38,0.06568049056932779,7.41,2.039,472.65,45.37,0.598,100.0,7.91,2.681,9.895,86.86,69.52,21560.67,32.92,30.38,72.99262093814708,62.43778287636176,92.53020505477976,75.9631572892599,87.29837375331951,87.53249267975329
2022,江西,1,750.25,0.023003081622078536,7.864,2.224,456.11,49.99,0.552,100.0,8.012,2.683,9.982,87.58,71.3,22291.99,32.09,29.05,79.0190207855451,70.45775540780956,94.81103492238961,78.82114937208054,90.4470782590491,94.89894468483618
2023,江西,1,770.26,0.026671109630123313,8.02,2.179,461.13,50.71,0.595,100.0,8.227,2.811,10.009,91.02,73.78,22742.05,31.19,30.5,80.5513491574468,68.14296105732602,100.0,85.62787888656712,96.26201366339104,100.0
2013,河北,0,274.56,0.0,6.111,2.695,185.15,49.09,0.501,73.89,11.88,1.915,7.121,71.13,57.19,9718.47,35.36,24.13,38.52990328666188,50.31031662780923,46.172754890135245,43.71310844342421,29.109935182357283,30.42106466174222
2014,河北,0,332.29,0.21026369463869465,6.249,2.621,199.63,50.08,0.496,74.76,11.589,2.115,7.244,75.06,60.36,9943.03,34.95,24.49,40.4225026596257,52.44499240236619,51.87363777187978,51.872185866541756,31.44962541290917,36.52271980727362
2015,河北,0,328.03,-0.012820126997502346,6.399,2.696,222.59,49.1,0.482,77.51,11.829,2.064,7.404,72.76,60.39,10584.32,34.28,26.75,45.639576835532985,54.8380145941628,54.95805639073899,49.24012104579644,38.41686554604232,41.44930266840044
2016,河北,0,360.28,0.09831417858122737,6.541,2.85,215.52,49.86,0.473,79.7,12.282,2.06,7.357,75.88,62.52,10744.05,33.86,25.99,48.80461831095455,58.17531976042828,56.80109564421656,55.27805278165183,39.11793472032347,46.32904509606979
2017,河北,0,372.34,0.03347396469412689,6.636,3.038,225.98,54.94,0.474,82.1,12.727,2.06,7.353,79.75,62.84,10959.93,32.93,26.47,53.840875017317714,65.42881745993347,59.48814493155934,60.12791891131894,42.90657618206394,53.99063323696679
2018,河北,1,385.16,0.034430896492453344,6.75,2.934,208.23,51.39,0.46,82.63,12.676,2.145,7.446,81.0,63.94,11412.13,32.04,31.24,51.59529316121167,63.23623804900976,63.10874374094328,62.827317191222235,52.92278112241247,57.292831329862075
2019,河北,1,405.22,0.05208225153183088,6.849,3.152,249.36,51.27,0.457,86.25,13.017,2.05,7.532,79.57,64.8,11820.62,30.88,31.63,60.38728286338899,66.49338265361975,64.30746820437047,62.14723850226692,57.900594123184575,63.44800245747541
2020,河北,1,410.82,0.013819653521543795,7.086,3.157,247.28,53.29,0.433,86.89,13.189,2.042,7.417,82.15,65.53,12182.6,31.37,31.13,62.81693984539939,70.8361490048303,63.0552742237913,65.96778921352977,57.35845638202283,66.52468594057676
2021,河北,1,415.26,0.010807652986709604,7.398,3.294,259.64,56.3,0.478,94.11,13.289,2.136,7.517,84.15,68.49,12617.46,30.21,31.67,69.624718458669,77.05174180610078,67.9771903889891,71.6508934609525,62.62488498870405,75.82088828102246
2022,河北,1,441.6,0.06343014015315718,7.428,3.208,266.34,53.83,0.448,98.19,13.242,2.071,7.552,84.09,69.09,12778.87,29.02,33.16,69.33546456160532,80.21291302809234,66.62125283818706,72.26337479128729,68.1589003437546,78.33094209753187
2023,河北,1,456.85,0.03453351449275366,7.83,3.409,258.67,55.24,0.438,99.87,13.314,2.184,7.645,86.61,68.33,13365.94,28.56,31.35,75.98377587410486,83.84353954419986,71.7398624659482,74.32065680862078,69.21610674063557,84.31217973199779
2013,河南,0,573.18,0.0,6.775,1.502,317.54,28.25,0.379,84.75,10.131,2.134,7.642,63.15,62.32,15611.2,39.05,18.28,41.38825725840324,47.047749903980055,50.627615550857506,40.29405632924254,34.147599545699755,32.089380061460226
2014,河南,0,592.32,0.03339265152308202,6.991,1.752,338.65,30.89,0.427,87.04,9.896,2.071,7.625,63.98,61.58,15949.51,37.54,17.24,49.821963538776615,48.35603471698961,47.20428863702792,40.41502002361607,37.94175698004382,36.26735761284138
2015,河南,0,647.1,0.09248379254457051,6.909,1.519,309.24,30.24,0.398,91.48,10.702,2.117,7.643,64.96,65.94,16686.31,37.27,16.56,42.225413860180645,53.632954290053114,53.74170291055563,46.50714888982871,40.50588066132115,39.224204212952834
2016,河南,0,676.08,0.0447844228094576,7.324,1.699,328.7,31.84,0.401,92.31,10.78,2.039,7.756,65.63,64.2,17036.72,36.16,20.47,51.56630310005863,55.79157027889753,54.25044430028617,45.305917632677165,49.61309502160219,46.22723711277939
2017,河南,0,718.72,0.06306945923559337,7.508,1.709,322.68,31.04,0.396,100.0,10.573,2.301,7.907,67.2,67.52,17762.23,35.11,19.53,53.08006291042665,62.05260188757041,62.613467918990416,50.89978476555318,53.79794793417333,53.88933364701211
2018,河南,1,750.64,0.04441228851291168,7.605,1.762,355.33,30.01,0.372,99.45,10.754,2.332,7.88,67.43,68.07,18436.91,34.0,20.09,58.40964137196797,62.217323868847366,64.0548270335864,51.791598789933005,59.853320509863416,58.59180658396802
2019,河南,1,758.75,0.010804113822871164,7.813,1.768,357.06,32.97,0.371,100.0,10.462,2.418,7.984,69.3,68.65,19053.43,34.07,18.84,60.94360708228571,65.81387693716844,66.40845590609463,54.61860712104356,60.37732063411829,62.35261983961296
2020,河南,1,785.88,0.03575617792421748,7.882,1.899,392.92,29.94,0.356,100.0,11.344,2.408,7.996,70.08,70.09,19203.31,32.99,18.23,67.5110675900647,63.76341860286957,71.8372274016496,57.15966572343786,62.918847677312094,67.20011875985342
2021,河南,1,836.72,0.06469181045452244,7.988,1.914,387.76,30.92,0.37,100.0,11.206,2.452,8.006,75.09,73.47,20193.88,32.34,17.31,68.34617004766123,63.77657112443805,72.31962583627848,66.80939392165254,67.09211740201255,72.02507724429677
2022,河南,1,858.5,0.02603021321350041,8.112,1.891,384.83,34.2,0.373,100.0,11.9,2.451,8.077,73.55,73.72,20271.96,31.33,23.04,69.02756127953845,66.9367858274703,77.9005352065427,65.30840219724647,77.24444756690664,77.358794734156
2023,河南,1,934.77,0.08884100174723342,8.38,2.051,395.3,34.89,0.355,100.0,11.806,2.573,8.135,76.6,72.41,20847.61,31.82,21.48,75.5117091166985,68.92538775394142,81.58376534280494,67.35486433661686,76.14942597989739,81.72974947138847
2013,浙江,0,342.23,0.0,6.411,2.061,383.3,28.71,0.462,54.68,6.668,2.142,9.292,61.79,61.47,15104.7,33.82,17.05,53.01724462987335,15.312995784647546,59.617521081214406,37.75132636358563,44.06604747745829,31.114256114714355
2014,浙江,0,349.1,0.02007421909242324,6.623,2.273,411.92,24.97,0.454,61.26,6.592,2.213,9.4,62.54,63.34,15672.38,31.94,17.82,61.617915453522734,17.792272148382146,62.990634493019236,40.74639955610157,51.95814031344079,39.54967697653478
2015,浙江,0,362.42,0.0381552563735319,6.674,2.574,413.71,30.23,0.47,60.11,6.614,2.28,9.555,65.31,65.16,16197.0,31.68,20.1,66.99864520799966,21.058941992268213,67.72864907138843,46.02622632858474,57.46954582263317,47.25390963362178
2016,浙江,0,379.1,0.04602395011312854,6.881,2.217,441.16,30.31,0.431,62.05,7.021,2.251,9.554,64.82,65.54,16435.81,31.64,19.01,66.65476092362623,25.609744377783493,69.47372706627364,45.89017149457702,57.07418177586489,48.80452888852129
2017,浙江,0,405.4,0.06937483513584786,6.694,2.428,470.91,30.81,0.431,67.22,7.627,2.377,9.586,67.38,67.7,17521.17,30.15,19.99,71.02793992841073,30.647586764895706,77.12733137335496,51.31305132385165,66.16054696685478,58.53995188642682
2018,浙江,1,428.3,0.05648741983226446,7.172,2.513,469.37,27.97,0.443,67.11,7.713,2.388,9.639,67.66,68.76,17603.72,30.23,19.58,77.36380906354809,26.77785167102091,78.92159746705352,52.84255396426353,65.74192044583094,60.59970796175075
2019,浙江,1,484.59,0.13142657016110193,7.074,2.548,484.37,29.07,0.406,68.71,7.674,2.628,9.779,68.4,69.57,18311.05,28.5,20.38,78.42863289796735,31.938094006089756,87.54749392228179,54.62110927891035,73.8078596859098,67.8189270094156
2020,浙江,1,462.53,-0.04552301945974946,7.412,2.56,470.25,28.55,0.417,71.08,7.549,2.548,9.766,71.68,69.15,18677.91,27.99,23.06,80.78678064303543,32.695389717744895,84.43361408009162,57.945871092540855,79.88005603075139,71.22718329563959
2021,浙江,1,511.15,0.1051175058915097,7.345,2.806,505.67,30.44,0.445,72.16,8.262,2.662,9.673,70.06,72.33,19391.7,27.35,22.04,87.60284506052776,33.59467244412903,90.1434125094901,59.682740066164484,82.87204651920544,77.06157181679825
2022,浙江,1,543.14,0.06258436858065153,7.088,2.983,521.23,32.68,0.406,75.67,7.82,2.759,9.84,73.46,73.46,19555.17,27.31,22.84,89.18851351082502,41.74067240807901,93.01076234941469,64.90852609315708,84.59838674372374,83.14925694829395
2023,浙江,1,529.41,-0.02527893360827782,7.791,2.933,529.78,32.45,0.393,74.97,7.623,2.514,9.898,75.53,73.87,20565.37,26.29,24.75,96.95651161567011,41.81533665554834,86.42104121560558,67.774132164174,93.38625181469881,88.3711868290557
2013,海南,0,722.59,0.0,4.839,2.484,203.18,18.53,0.674,66.72,9.602,1.351,8.979,70.99,40.06,11760.77,38.08,21.22,23.38003269479245,0.3145672649180661,51.31276795695713,24.078763629063307,26.052043017284316,2.636461446193941
2014,海南,0,732.72,0.01401901493239599,4.925,2.582,200.33,18.23,0.688,67.85,9.941,1.404,8.882,72.0,46.2,12499.69,37.02,21.39,25.521530014008675,0.0,53.027924152901974,32.22903462937618,31.722811842135474,8.166679715641905
2015,海南,0,773.51,0.055669287040069904,5.176,2.747,211.15,19.02,0.657,70.25,9.957,1.336,9.009,73.65,42.44,12626.87,35.71,20.02,31.93523561252332,5.115075696520872,53.67134055536498,29.867642690683745,33.80191288437993,12.387214216341127
2016,海南,0,836.3,0.0811754211322413,5.066,2.885,222.33,20.45,0.653,72.01,10.244,1.405,9.007,74.74,44.83,12924.28,34.7,21.37,34.05183917571401,8.40994967664093,57.22627130066107,33.84794054325561,39.203526027349476,18.081735589668373
2017,海南,0,843.58,0.008705010163816862,5.156,2.808,199.17,23.55,0.671,74.58,10.287,1.449,9.186,76.54,46.3,13661.68,34.94,22.37,31.388371125323317,12.567920550360245,61.93095213488778,37.60548770135652,42.601559873492654,21.726208833969793
2018,海南,1,906.1,0.07411271011640852,5.382,3.046,218.99,21.51,0.64,78.1,10.392,1.505,9.14,77.34,45.08,13995.42,33.72,22.96,39.60906508228737,15.752401563607934,63.20867360839999,37.1460485111721,47.7090272803114,27.76196021824397
2019,海南,1,948.72,0.04703675091049564,5.204,3.118,235.24,20.36,0.65,76.48,10.467,1.606,9.236,78.22,48.88,14373.65,33.09,24.28,40.507853877104125,12.441675046395618,68.08590462394164,42.48569249515867,52.40189697283607,31.40341631738647
